,day,month,year,ndvi,lower_ndvi,upper_ndvi
0,1,9,2019,0.183077582,-0.597488512,0.963643677
1,1,10,2019,-0.232986356,-1.426363559,0.960390847
2,1,11,2019,0.009610014,-1.498329273,1.5175493
3,1,12,2019,0.458523861,-1.310412008,2.227459729
4,1,1,2020,0.805762781,-1.190547032,2.802072594
5,1,2,2020,1.01966524,-1.180677256,3.220007736
6,1,3,2020,1.371575623,-1.015427211,3.758578457
7,1,4,2020,1.739169804,-0.820920287,4.299259895
8,1,5,2020,2.071896924,-0.650297144,4.794090991
9,1,6,2020,2.02356622,-0.851606798,4.898739238
10,1,7,2020,1.886502994,-1.133910759,4.906916748
11,1,8,2020,1.296213422,-1.862770371,4.455197215
12,1,9,2020,0.667301474,-2.758329686,4.092932633
13,1,10,2020,0.388578791,-3.307414794,4.084572377
14,1,11,2020,0.762769593,-3.188564443,4.714103628
15,1,12,2020,1.348710011,-2.842947677,5.540367698
16,1,1,2021,1.537278593,-2.881727856,5.956285042
17,1,2,2021,1.764157362,-2.871071513,6.399386237
18,1,3,2021,2.157781642,-2.684025031,6.999588315
19,1,4,2021,2.535099733,-2.504824827,7.575024292
20,1,5,2021,2.819933785,-2.410609942,8.050477512
21,1,6,2021,2.826036994,-2.588419197,8.240493185
22,1,7,2021,2.692815232,-2.899508437,8.285138902
23,1,8,2021,2.312790572,-3.451915163,8.077496307
